	Name	Categories	Extrainfo
Stephen	Hickman	Illustration, Fantasy, Sci-Fi, Cover Art, USA	
Utagawa	Hiroshige	Illustration, Woodcut, Ukiyo-e, Japan, 19th Century	
Bryan	Hitch	Comic, DC Comics, Marvel, UK	
Filip	Hodas	3D, Landscape, Czech Republic	
Ferdinand	Hodler	Painting, Oil, Art Nouveau, Symbolism, Switzerland, 19th Century	
	Hokusai (Katsushika Hokusai)	Painting, Ink, Woodblock Print, Ukiyo-e, Japan, 18th Century	
Ambrosius	Holbein	Painting, Oil, Woodcut, Portrait, Mythology, Germany, 16th Century	seems different enough from Hans Holbein
Hans	Holbein	Painting, Oil, Portrait, Germany, 15th Century	
Winslow	Homer	Illustration, Painting, Oil, Landscape, Realism, USA, 19th Century	
Frank	Hong	Illustration, Concept Art, Game Art, Animation, Canada	
Pieter de	Hooch	Painting, Oil, Portrait, Netherlands, 17th Century	difficult to generate faces, Highres. Fix
Edward	Hopper	Painting, Oil, Realism, USA	512px + Highres. Fix
Aaron	Horkey	Illustration, B&W, USA	
Alex	Horley	Illustration, Comic, Nudity, DC Comics, Marvel, Hearthstone, Cover Art, Game Art, USA	has problem with faces, DPM++ 2M Karras, Highres. Fix 512px -> 1024px, Denoising Strength 0.5
Edward Atkinson	Hornel	Painting, Oil, Portrait, Scotland, UK, 19th Century	
John	Howe	Illustration, Concept Art, Tolkien, Canada	
John	Hoyland	Painting, Acrylic, Abstract, UK	
Sebastien	Hue	Illustration, Concept Art, France	
Adam	Hughes	Illustration, Comic, DC Comics, Marvel, USA	
Edward Robert	Hughes	Painting, Oil, Watercolor, Tempera, Portrait, UK	
George	Hurrell	Photography, Portrait, B&W, USA	
Michael	Hutter	Illustration, Painting, Germany	
Duy	Huynh	Painting, Acrylic, Surrealism, Vietnam, USA	
Catherine	Hyde	Illustration, USA	
Hannah	Höch	Painting, Oil, Tempera, Watercolor, Collage, Portrait, Dada, Germany	had to use [from:to:when] for H.C.
Louis	Icart	Illustration, Painting, France, 19th Century	
Stuart	Immonen	Comic, DC Comics, Marvel, Canada	512px + Highres. Fix
Ismail	Inceoglu	Illustration, Concept Art, Fantasy, Bulgaria	
Carmine	Infantino	Comic, DC Comics, Marvel, USA	
Robert	Ingpen	Illustration, Children's Book, Australia	
Jean-Auguste-Dominique	Ingres	Painting, Oil, Portrait, Neoclassicism, Orientalism, France, 19th Century	
Takehiko	Inoue	Illustration, Manga, Japan	
Sui	Ishida	Illustration, Manga, Japan	
Johannes	Itten	Painting, Oil, Watercolor, Expressionism, Bauhaus, Switzerland	
Junji	Itō	Illustration, Manga, Horror, B&W, Japan	
Jorge	Jacinto	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, Portugal	
Bill	Jacklin	Painting, Oil, Pastel, Portrait, Landscape, Still Life, UK	
Marcin	Jakubowski	Illustration, Character Design, Concept Art, Poland	
Alexander	Jansson	Illustration, Sweden	
Aaron	Jasinski	Illustration, Children's Book, Cover Art, USA	512px + Highres. Fix
James	Jean	Illustration, Painting, Taiwan	
Oliver	Jeffers	Author, Illustration, Children's Book, Australia	
Ellen	Jewett	Sculpture, Canada	
Ruan	Jia	Illustration, Concept Art, Game Art, China	
Phil	Jimenez	Comic, DC Comics, USA	
Dorothy	Johnstone	Painting, Oil, Watercolor, Gouache, Portrait, Scotland, UK	
(Android) Andrew	Jones	Illustration, Concept Art, Game Art, USA	
Jeffrey Catherine	Jones	Illustration, Cover Art, USA	
Loui	Jover	Collage, Ink, B&W, Australia	
Jean	Jullien	Illustration, Flat Style, France	
Mandy	Jurgens	Illustration, Portrait, USA	
Joe	Jusko	Illustration, Comic, Fantasy, DC Comics, Marvel, USA	512px + Highres. Fix
Shintarō	Kago	Illustration, Manga, Horror, Japan	
Hayv	Kahraman	Painting, Oil, Portrait, Iraq, USA	
Michael William	Kaluta	Illustration, Comic, DC Comics, Marvel, Cover Art, Guatemala, USA	
Wassily	Kandinsky	Painting, Expressionism, Abstract, Russia	
Wadim	Kashin	Concept Art, Sci-Fi, Poland	
Alex	Katz	Painting, Pop-Art, USA	
Audrey	Kawasaki	Illustration, Painting, Oil, Charcoal, Portrait, USA	
Glen	Keane	Illustration, Animation, Disney, USA	
Kim	Keever	Photography, USA	
Andy	Kehoe	Illustration, Fantasy, USA	
Ken	Kelly	Painting, Fantasy, USA	512px + Highres. Fix
Frank	Kelly-Freas	Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA	
William	Kentridge	Illustration, Charcoal, B&W, South Africa	
Brian	Kesinger	Illustration, Comic, Disney, USA	
Jeremiah	Ketner	Illustration, USA, Japan	
Anselm	Kiefer	Painting, Oil, Acrylic, Germany	
Sam	Kieth	Comic, DC Comics, USA	
Jung-Gi	Kim	Illustration, B&W, South Korea	
Thomas	Kinkade	Painting, Oil, USA	
Jack	Kirby	Comic, DC Comics, Marvel, USA	
Ernst Ludwig	Kirchner	Painting, Oil, Portrait, Landscape, Expressionism, Germany	
Raphael	Kirchner	Illustration, Painting, Art Nouveau, Austria, 19th Century	
Utamaro	Kitagawa	Woodblock Print, Woodcut, Ukiyo-e, Japan, 18th Century	Kitagawa = Surname
Tatsuro	Kiuchi	Illustration, Painting, Japan	
Abdul Mati	Klarwein	Painting, Oil, Portrait, Cover Art, Surrealism, Germany, France	
Jon	Klassen	Illustration, Animation, Children's Book, Canada	512px + Highres. Fix
Paul	Klee	Painting, Oil, Watercolor, Expressionism, Bauhaus, Switzerland	had to use [from:to:when] for H.C.
Gustav	Klimt	Painting, Oil, Symbolism, Art Nouveau, Austria, 19th Century	
Hilma af	Klint	Painting, Oil, Watercolor, Abstract, Symbolism, Sweden	
Ferdinand	Knab	Painting, Oil, Architecture, Germany, 19th Century	512px + Highres. Fix
Nick	Knight	Photography, Fashion, UK	
Winifred Margaret	Knights	Painting, Oil, Naive Art, UK	
Ayami	Kojima	Illustration, Character Design, Concept Art, Konami, Japan	
Oskar	Kokoschka	Painting, Oil, Portrait, Landscape, Expressionism, Austria	
Käthe	Kollwitz	Painting, Lithography, Expressionism, B&W, Sculpture, Germany	
Satoshi	Kon	Anime, Japan	
Willem de	Kooning	Painting, Oil, Abstract, Expressionism, Netherlands, USA	
Jeff	Koons	Sculpture, Postmodernism, USA	had to use [from:to:when] for H.C.
Ohara	Koson	Illustration, Painting, Ukiyo-e, Japan	
Bella	Kotak	Photography, Portrait, UK	
Ivan (Ivan Nikolaevič Kramskoj)	Kramskoi	Painting, Oil, Portrait, Realism, Russia, 19th Century	start with 768px, used 30 steps
Ranganath	Krishnamani	Illustration, Flat Style, India	
Germaine	Krull	Photography, Portrait, B&W, Germany	
Alfred	Kubin	Author, Illustration, Expressionism, Symbolism, B&W, Austria, Hungary	
Maciej	Kuciara	Illustration, Concept Art, Sci-Fi, Game Art, Poland	
Utagawa	Kunisada	Drawing, Portrait, Woodcut, Ukiyo-e, Japan, 19th Century	
Akira	Kurosawa	Movie Director, B&W, Japan	
Harvey	Kurtzman	Comic, Mad Magazine, USA	
Yayoi	Kusama	Painting, Sculpture, Pattern, Pop-Art, Japan	
Michael	Kutsche	Illustration, Character Design, Fantasy, Germany	512px + Highres. Fix
Ilya	Kuvshinov	Illustration, Animation, Character Design, Russia	
David	LaChapelle	Photography, Portrait, USA	512px + Highres. Fix
Raphael	Lacoste	Illustration, Concept Art, Game Art, France	
Mikko	Lagerstedt	Photography, Landscape, Finland	
Edwin	Landseer	Painting, Oil, Portrait, Animals, Dogs, Romanticism, UK, 19th Century	
Fitz Henry	Lane	Painting, Oil, Landscape, Marine, USA, 19th Century	
Abigail	Larson	Illustration, Character Design, Watercolor, Ink, Gothic, USA	
Gary	Larson	Author, Illustration, Comic, Cartoon, USA	
Carl	Larsson	Illustration, Watercolor, Sweden, 19th Century	
Maria	Lassnig	Painting, Oil, Portrait, Austria	
Don	Lawrence	Comic, Watercolor, Gouache, UK	
Bastien	Lecouffe-Deharme	Illustration, Sci-Fi, Fantasy, France	
Alan	Lee	Illustration, Concept Art, Tolkien, UK	
Jae	Lee	Comic, DC Comics, Marvel, USA	
Jim	Lee	Comic, DC Comics, Marvel, South Korea, USA	
Paul	Lehr	Illustration, Sci-Fi, Cover Art, USA	
Jeff	Lemire	Illustration, Watercolor, Comic, DC Comics, Marvel, USA	
Aristarkh	Lentulov	Painting, Oil, Cubism, Russia	
Joseph Christian	Leyendecker	Illustration, Art Nouveau, Cover Art, Germany, 19th Century	
André	Lhote	Painting, Oil, Gouache, Portrait, Landscape, Cubism, France	
Roy	Lichtenstein	Painting, Pop-Art, USA	
Rob	Liefeld	Comic, DC Comics, Marvel, USA	
Iwona	Lifsches	Illustration, Painting, Acrylic, Children's Book, Poland, Denmark	
Richard	Lindner	Illustration, Painting, Lithography, Pop-Art, Germany, USA	
	Liniers	Illustration, Comic, Cartoon, Argentina	512px + Highres. Fix
Filippino	Lippi	Painting, Oil, Portrait, Mythology, Italy, 15th Century	
Laurie	Lipton	Illustration, Pencil, Portrait, B&W, USA	
Arthur	Lismer	Painting, Landscape, Oil, Canada	
Michal	Lisowski	Concept Art, Game Art, Poland	
Scott	Listfield	Painting, Oil, USA	
Cory	Loftis	Illustration, Animation, Character Design, Disney, USA	
	Loish (Lois van Baarle)	Illustration, Character Design, Concept Art, Portrait, Netherlands	
Andrew	Loomis	Illustration, Painting, USA	
Didier	Lourenço	Painting, Lithography, Spain	
H.P.	Lovecraft	Author, Horror, USA	
Tom	Lovell	Illustration, Painting, USA	
Maximilien	Luce	Painting, Oil, Pointillism, France	
Margaret	MacDonald Mackintosh	Illustration, Watercolor, Ink, Art Nouveau, UK, 19th Century	
Frances	MacDonald McNair	Illustration, Watercolor, Ink, Art Nouveau, UK, 19th Century	
Bessie (Elizabeth)	MacNicol	Painting, Oil, Portrait, Scotland, UK, 19th Century	
Andrew	Macara	Painting, Oil, UK	
August	Macke	Painting, Oil, Watercolor, Portrait, Landscape, Expressionism, Germany	
Jim (Food One)	Mahfood	Comic, USA	
Hans	Makart	Painting, Oil, Orientalism, Austria, 19th Century	
Alex	Maleew	Illustration, Comic, DC Comics, Marvel, Bulgaria	
Justin	Maller	Illustration, Australia	
Milo	Manara	Illustration, Watercolor, Acrylic, Comic, Graphic Novel, Nudity, Italy	potentially NSFW (Deliberate is with that prompt)
Gregory	Manchess	Illustration, Painting, Oil, Cover Art, USA	
Slawomir	Maniak	Illustration, Concept Art, Cover Art, Fantasy, MTG, Poland	
Jeremy	Mann	Painting, Oil, USA	
Stan	Manoukian	Illustration, Fantasy, France	
Andrea	Mantegna	Painting, Oil, Tempera, Portrait, Mythology, Italy, 15th Century	
Aldus	Manutius	Printer, Woodcut, Engraving, Italy, 15th Century	start with 768px = better/finer details, used DPM++ SDE Karras
Esteban	Maroto	Illustration, Comic, DC Comics, Marvel, Spain	
Chris	Mars	Painting, Oil, Pastel, Cover Art, Horror, USA	
John	Martin	Painting, Oil, UK	
Stephan	Martinière	Illustration, Concept Art, Fantasy, Sci-Fi, France	
Frans	Masereel	Painting, Woodcut, B&W, Belgium	512px + Highres. Fix
Brian	Mashburn	Painting, Ink, Gouache, Watercolor, Landscape, USA	
André	Masson	Painting, Oil, Cubism, Surrealism, USA	
Henri	Matisse	Painting, Oil, Gouache, France	
Rodney	Matthews	Illustration, Fantasy, UK	
David	Mattingly	Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA	
Dan	Matutina	Illustration, Philippines	
Mike	Mayhew	Illustration, Comic, DC Comics, Marvel, Cover Art, USA	
Cathleen	McAllister	Illustration, Character Design, Concept Art, Game Art, Covert Art, Animation, USA	
Robert T.	McCall	Illustration, Painting, Sci-Fi, Cover Art, USA	
Frank	McCarthy	Illustration, Painting, USA	
Winsor	McCay	Illustration, Comic, Cartoon, Architecture, USA	
Frederick	McCubbin	Painting, Oil, Landscape, Australia, 19th Century	
Todd	McFarlane	Comic, DC Comics, Marvel, Canada	
Barry	McGee	Illustration, Grafitti, Street Art, Sculpture, USA	512px + Highres. Fix
Dave	McKean	Illustration, Comic, Children's Book, UK	
Angus	McKie	Illustration, Sci-Fi, Cover Art, UK	
Seb	McKinnon	Illustration, Fantasy, MTG, Canada	
Dan	McPharlin	Illustration, Concept Art, Sci-Fi, Cover Art, Surrealism, Australia	
Tara	McPherson	Illustration, Painting, USA	
Ralph Angus	McQuarrie	Concept Art, Sci-Fi, Star Wars, USA	
Ian	McQue	Illustration, Concept Art, Sci-Fi, Game Art, Scotland, UK	
Syd	Mead	Industrial Design, Concept Art, Sci-Fi, USA	
Ed	Mell	Painting, Oil, Landscape, USA	
Hans	Memling	Painting, Oil, Portrait, Mythology, Germany, 15th Century	
Eddie	Mendoza	Illustration, Concept Art, Game Art, USA	
Adolph von	Menzel	Illustration, Painting, Oil, Portrait, Realism, Germany	
Maria Sibylla	Merian	Painting, Illustration, Engraving, Botanical, Germany, 17th Century	
Daniel	Merriam	Illustration, Painting, Watercolor, Surrealism, USA	
Antonello da	Messina	Painting, Oil, Portrait, Mythology, Italy, 15th Century	
Jean	Metzinger	Painting, Oil, Guache, Portrait, Landscape, Cubism, France	
Joshua	Middleton	Illustration, Comic, Ink, DC Comics, Marvel, USA	
Mike	Mignola	Comic, Ink, Watercolor, USA	
Gjon	Mili	Photography, Dance, Albania	
Frank	Miller	Comic, DC Comics, Marvel, USA	
Ian	Miller	Illustration, Ink, Watercolor, Fantasy, Gothic, Cover Art, USA	
Russ	Mills	Illustration, Cover Art, UK	
Kentarō	Miura	Illustration, Manga, B&W, Japan	
Hayao	Miyazaki	Movie Director, Anime, Ghibli, Japan	
Bob	Mizer	Photography, Movie Director, Portrait, Pin-Ups, Nudity, USA	NSFW
Junko	Mizuno	Illustration, Manga, Japan	
Amedeo	Modigliani	Painting, Oil, Sculpture, Expressionism, Italy	potentially NSFW
Jean)	Moebius (Giraud	Illustration, Comic, France	
Peter	Mohrbacher	Illustration, Fantasy, USA	
Claude	Monet	Painting, Oil, Landscape, Portrait, Impressionism, France, 19th Century	
Jean-Baptiste	Monge	Illustration, Character Design, Fantasy, Canada	
Chris	Moore	Illustration, Painting, Sci-Fi, Cover Art, UK	weaker on people, had to use [from:to:when] for H.C.
Dan (Chaves)	Mora	Illustration, Comic, Sci-Fi, Fantasy, Costa Rica	
Thomas	Moran	Painting, Oil, Landscape, USA, 19th Century	
Giorgio	Morandi	Painting, Oil, Still Life, Italy	
Gustave	Moreau	Painting, Oil, Symbolism, Nudity, France, 19th Century	
Henry	Moret	Painting, Oil, Landscape, Marine, Impressionism, France, 19th Century	
Berthe	Morisot	Painting, Oil, Portrait, France, 19th Century	
Hishikawa	Moronobu	Painting, Ukiyo-e, Japan, 17th Century	
Stefan	Morrell	Illustration, Character Design, Concept Art, Game Art, USA	
William	Morris	Illustration, Painting, Print, Wallpaper, UK, 19th Century	512px + Highres. Fix
Alberto	Morrocco	Painting, Oil, Scotland, UK	
Igor	Morski	Illustration, Photo Manipulation, Surrealism, Poland	
John Kenn	Mortensen	Illustration, Denmark	
William	Mortensen	Photography, Portrait, Glamour, B&W, USA	
Victor	Moscoso	Comic, Poster, Psychedelic Art, Lithography, Spain, USA	512px + Highres. Fix, Euler A
Olly	Moss	Illustration, Concept Art, Poster, USA	
Alfons (Alphonse)	Mucha	Illustration, Art Nouveau, Czech Republic, 19th Century	
Craig	Mullins	Illustration, Game Art, USA	
Dan	Mumford	Illustration, Cover Art, UK	512px + Highres. Fix, low denoising strength
Bruno	Munari	Illustration, Graphic Design, Italy	
Edvard	Munch	Painting, Oil, Expressionism, Symbolism, Norway, 19th Century	
Will	Murai	Illustration, Blizzard, Hearthstone, MTG, USA	
Takashi	Murakami	Illustration, Visual Arts, Superflat, Japan	
Yusuke	Murata	Illustration, Manga, Japan	
Hiroshi	Nagai	Illustration, Landscape, Japan	
Kazumasa	Nagai	Illustration, Graphic Design, Poster, Japan	
Patrick	Nagel	Illustration, Painting, Cover Art, Flat Style, Portrait, USA	
Scott	Naismith	Painting, Landscape, Oil, Scotland, UK	
Ted	Nasmith	Illustration, Concept Art, Tolkien, Canada	
Alexander	Nasmyth	Painting, Oil, Landscape, Scotland, UK, 18th Century	
Alice	Neel	Painting, Oil, Portrait, Expressionism, USA	
Keith	Negley	Illustration, Cover Art, Flat Style, USA	
Kadir	Nelson	Illustration, Painting, Portrait, Cover Art, USA	
R. Kenton	Nelson	Painting, USA	
Odd	Nerdrum	Painting, Oil, Lithography, Portrait, Norway	
Jane	Newland	Illustration, Watercolor, Flat Style, UK	
Victo	Ngai	Illustration, Children's Book, USA	
Dustin	Nguyen	Comic, DC Comics, USA	
Kay	Nielsen	Illustration, Disney, Denmark	
Tsutomu	Nihei	Illustration, Manga, Sci-Fi, Japan	
Yasushi	Nirasawa	Illustration, Character Design, Japan	512px + Highres. Fix
Victor	Nizovtsev	Painting, Russia	
Catherine	Nolin	Painting, Acrylic, Oil, Portrait, Interior, USA	
Earl	Norem	Illustration, Comic, Poster, Cover Art, Marvel, USA	
Marianne	North	Painting, Landscape, Botanical, UK, 19th Century	
Thornton	Oakley	Illustration, Charcoal, Gouache, Watercolor, USA	
Chris	Ofili	Painting, Watercolor, Charcoal, UK	
Eiko	Ojala	Illustration, Cover Art, Flat Style, Estonia	512px + Highres. Fix
Margaret	Olley	Painting, Oil, Still Life, Botanical, Australia	
Atelier	Olschinsky	Illustration, 3D, Sci-Fi, Austria	
Oleg	Oprisco	Photography, Portrait, Ukraine	
Katsuhiro	Otomo	Illustration, Manga, Japan	
Shohei	Otomo	Illustration, Ink, B&W, Japan	
Siya	Oum	Comic, DC Comics, Marvel, USA	
Georgia	O’Keeffe	Painting, Oil, USA	
	P.A. Works	Anime, Japan	
Gary	Panter	Illustration, Painting, Comic, Author, Acrylic, Ink, USA	
Eduardo	Paolozzi	Illustration, Lithography, Collage, Pop-Art, Scotland, UK	
Gerald	Parel	Illustration, Game Art, Germany	
	Parmigianino	Painting, Oil, Portrait, Mythology, Italy, 16th Century	clothes might be wrong
Maxfield	Parrish	Illustration, Painting, Oil, USA	
Edward Francis	Paschke	Painting, Oil, Portrait, Expressionism, Abstract, USA	
Bob	Peak	Illustration, Poster, Cover Art, USA	
Clara	Peeters	Painting, Oil, Still Life, Belgium	
Guo	Pei	Fashion Designer, Fashion, China	
Bruce	Pennington	Painting, Fantasy, Sci-Fi, UK	
John	Perceval	Painting, Australia	
Cleon	Peterson	Painting, Acrylic, Print, B&W, USA	start with 768px = better/finer details, used 30 steps, use [from:to:when] for H.C.
Nikolina	Petolas	Illustration, Painting, Photography, Concept Art, Croatia	
Coles	Phillips	Illustration, Watercolor, USA	512px + Highres. Fix
Sean	Phillips	Illustration, Comic, DC Comics, Marvel, UK	
Francis-Marie Martinez	Picabia	Painting, Oil, Watercolor, Portrait, Dada, Surrealism, Cubism, France	looks different in 768px+, had to use [from:to:when] for H.C.
Gabriel	Picolo	Illustration, Comic, DC Comics, Blizzard, Brazil	
Anton Franciscus	Pieck	Illustration, Painting, Watercolor, Ink, Gouache, Netherlands	
Jerry	Pinkney	Illustration, Watercolor, Children's Book, USA	
Maximilian	Pirner	Illustration, Painting, Oil, Czech Republic	
Jackson	Pollock	Painting, Expressionism, USA	
Jacopo da	Pontormo	Painting, Oil, Portrait, Mythology, Italy, 16th Century	looks nice, but lots of extra hands
Paul	Pope	Comic, DC Comics, USA	
Fairfield	Porter	Painting, Oil, Portrait, USA	
Candido	Portinari	Painting, Oil, Portrait, Brazil	
Simón	Prades	Illustration, Ink, Germany	
Gediminas	Pranckevicius	Illustration, Animation, Concept Art, Lithuania	
Hugo	Pratt	Illustration, Watercolor, Ink, Comic, Graphic Novel, Italy	
Theo	Prins	Concept Art, USA	
Dod	Procter	Painting, Oil, Portrait, UK	
Ernest	Procter	Painting, Oil, Portrait, UK	way different, but looks nice - fits better with Dod Procter's style
Alice	Provensen	Illustration, Children's Book, USA	
Steve	Purcell	Comic, Animation, Character Design, Game Art, USA	
Leo	Putz	Painting, Oil, Portrait, Italy	
	Q Hayashida (Hayashida Kyū)	Illustration, Manga, Horror, Japan	
Frank	Quitely	Illustration, Comic, DC Comics, Marvel, Cover Art, Scotland, UK	
Arthur	Rackham	Illustration, Watercolor, Ink, Children's Book, Art Nouveau, UK, 19th Century	
Henry Patrick	Raleigh	Illustration, Watercolor, Charcoal, USA	
Humberto	Ramos	Illustration, Comic, DC Comics, Marvel, Cover Art, Mexico	DPM++ SDE Karras
Paul	Rand	Illustration, Graphic Design, Logo, USA	
	Raphael (Raffaello Sanzio da Urbino)	Painting, Oil, Portrait, Mythology, Italy, 15th Century	
	Ravi Zupa	Illustration, Painting, Print, USA	start with 768px = better/finer details, used 30 steps
Jakub	Rebelka	Illustration, Concept Art, Poland	
Odilon	Redon	Painting, Symbolism, France, 19th Century	
Anne	Redpath	Painting, Oil, Still Life, Landscape, Scotland, UK	
Lotte	Reiniger	Movie Director, Animation, Silhouette, B&W, Germany	
	Rembrandt (van Rijn)	Painting, Oil, Portrait, Baroque, Netherlands, 17th Century	unflexible/difficult to prompt
Andrey	Remnev	Painting, Oil, Portrait, Russia	
Pierre-Auguste	Renoir	Painting, Oil, Portrait, Impressionism, France, 19th Century	feels a bit blurry and generic
Ilya/Ilja	Repin	Painting, Oil, Portrait, Ukraine, 19th Century	
Zac	Retz	Illustration, Animation, Concept Art, Character Design, USA	might not be destinct enough, digital style with contemporary context
	Rhads (Artem Chebokha)	Illustration, Landscape, Russia	
Louis	Rhead	Illustration, Poster, Art Nouveau, B&W, UK, USA	
Matt	Rhodes	Illustration, Concept Art, Game Art, USA	
Hyacinthe	Rigaud	Painting, Oil, Portrait, Baroque, France, 17th Century	
Jovana	Rikalo	Photography, Portrait, Serbia	
Bridget	Riley	Illustration, Painting, Op-Art, Geometry, Pattern, UK	
Faith	Ringgold	Painting, Oil, Acrylic, USA	
Jean-Paul	Riopelle	Painting, Oil, Expressionism, Abstract, USA	
Diego	Rivera	Painting, Portrait, Muralismo, Realism, Mexico	
Trina	Robbins	Illustration, Comic, DC Comics, Marvel, B&W, USA	
Albert	Robida	Illustration, Painting, Lithography, France, 19th Century	
William Heath	Robinson	Illustration, Ink, Watercolor, Cartoon, USA	
Andreas	Rocha	Concept Art, Fantasy, Sci-Fi, Portugal	
Norman	Rockwell	Illustration, Painting, Cover Art, USA	
Nicholas	Roerich	Painting, Tempera, Landscape, Symbolism, Russia, 19th Century	
Cyril	Rolando	Illustration, France	
Conrad	Roset	Illustration, Painting, Ink, Watercolor, Spain	
Alex	Ross	Painting, Gouache, Comic, DC Comics, Marvel, Poster, USA	
Jessica	Rossier	Concept Art, Landscape, France	
Mark	Rothko	Painting, Oil, Abstract, Expressionism, Russia, USA	
Henri	Rousseau	Painting, Oil, Landscape, Botanical, Naive Art, France, 19th Century	
Paolo	Roversi	Photography, Fashion, Italy	
João	Ruas	Illustration, Horror, Brazil	
Peter Paul	Rubens	Painting, Oil, Portrait, Mythology, Flemish, 17th Century	also known for curvy (naked) women and putti
Grzegorz (Greg)	Rutkowski	Illustration, Concept Art, Fantasy, Poland	
Rachel	Ruysch	Painting, Oil, Still Life, Botanical, Netherlands, 17th Century	
Mark	Ryden	Painting, USA	
Albert Pinkham	Ryder	Painting, Oil, Landscape, USA, 19th Century	
	Ryohei Hase	Illustration, Cover Art, Horror, Japan	
Théo van	Rysselberghe	Painting, Oil, Pointillism, Belgium	
Cornelis	Saftleven	Painting, Oil, Landscape, Portrait, Netherlands, 17th Century	
Amanda	Sage	Painting, Oil, Psychedelic Art, USA	
Apollonia	Saintclair	Illustration, Ink, Nudity, B&W, France	
John	Salminen	Illustration, Watercolor, Landscape, USA	
Nicola	Samorì	Painting, Oil, Sculpture, Italy	
Tony	Sandoval	Illustration, Watercolor, USA	
John Singer	Sargent	Painting, Oil, Watercolor, Portrait, USA, 19th Century	
Arthur	Sarnoff	Illustration, Painting, Oil, Portrait, Cover Art, USA	
Sylvain	Sarrailh	Illustration, Concept Art, Game Art, France	
Andrea del	Sarto	Painting, Oil, Portrait, Mythology, Italy, 16th Century	
Martiros	Saryan	Painting, Oil, Tempera, Landscape, Russia, Armenia	
Alexei	Savrasov	Painting, Oil, Landscape, Russia, 19th Century	
Richard	Scarry	Illustration, Watercolor, Children's Book, USA	
Godfried	Schalcken	Painting, Oil, Portrait, Netherlands, 17th Century	Godefridus and Godfried both work, but the results of Godfried seem a bit nicer
Thomas W.	Schaller	Painting, Watercolor, Architecture, Cityscape, USA	
Paula	Scher	Illustration, Graphic Design, Painting, USA	
Egon	Schiele	Illustration, Painting, Oil, Portrait, Expressionism, Austria	
Helene	Schjerfbeck	Painting, Oil, Portrait, Realism, Finland, 19th Century	
Martin	Schoeller	Photography, Portrait, Germany	
John Carl	Schoenherr	Illustration, Children's Book, Sci-Fi, Dune, USA	
Alex	Schomburg	Illustration, Comic, Marvel, Cover Art, Puerto Rico, USA	512px + Highres. Fix, DPM++ SDE Karras, a lot of cover art in training data = text everywhere
Martin	Schongauer	Painting, Illustration, Engraving, Mythology, Germany, 15th Century	
Otto Marseus van	Schrieck	Painting, Oil, Still Life, Botanical, Netherlands, 17th Century	
François	Schuiten	Comic, Graphic Novel, Belgium	
Carlos	Schwabe	Illustration, Painting, Art Nouveau, Germany, 19th Century	
Kurt	Schwitters	Painting, Oil, Watercolor, Collage, Dada, Surrealism, Germany, UK	had to use [from:to:when] for H.C.
Susan	Seddon-Boulet	Painting, Ink, Brazil	
Guillaume	Seignac	Painting, Oil, Portrait, France	
Anton	Semenov	Illustration, Horror, Russia	
Georges	Seurat	Painting, Oil, Pointillism, France	
Marie	Severin	Comic, DC Comics, Marvel, USA	
Alberto	Seveso	Illustration, Photography, Portrait, UK	
Brooke	Shaden	Photography, Portrait, USA	needs big images (face)
Barclay	Shaw	Painting, Acrylic, Fantasy, Sci-Fi, Cover Art, USA	
Ernest Howard	Shepard	Illustrator, Painting, Winnie-the-Pooh, UK	
Cynthia	Sheppard	Illustration, MTG, USA	
Tyler	Shields	Photography, Portrait, USA	512px + Highres. Fix (1024)
Yuko	Shimizu	Illustration, USA	
Makoto	Shinkai	Anime, Japan	
Yōji	Shinkawa	Illustration, Concept Art, Japan	
Everett	Shinn	Illustration, Painting, Oil, Watercolor, USA	
Masamune	Shirow	Illustration, Manga, Sci-Fi, Japan	
Emmanuel	Shiu	Concept Art, Sci-Fi, USA	
Henryk	Siemiradzki	Painting, Oil, Portrait, Mythology, Ukraine, Poland, 19th Century	
Bill	Sienkiewicz	Illustration, Comic, DC Comics, Marvel, USA	
Paul	Signac	Painting, Oil, Pointillism, France	
Marc	Silvestri	Comic, DC Comics, Marvel, USA	
Greg	Simkins	Painting, Acrylic, Graffiti, USA	
Marc	Simonetti	Illustration, Concept Art, Game Art, France	
David Alfaro	Siqueiros	Painting, Portrait, Muralismo, Realism, Mexico	
Kevin	Sloan	Painting, Oil, USA	
Grace Cossington	Smith	Painting, Oil, Australia	
Chaim	Soutine	Painting, Oil, Portrait, Expressionism, Belarus, France	
Austin Osman	Spare	Illustration, Painting, Chalk, Pastel, Art Nouveau, Symbolism, Occultism, UK	
	Sparth	Illustration, Concept Art, Game Art, Sci-Fi, USA	
Chuck	Sperry	Illustration, Screen Print, Portrait, USA	
Sam	Spratt	Illustration, Painting, USA	
Ralph	Steadman	Author, Illustration, Comic, Cartoon, UK	
Brian	Stelfreeze	Comic, DC Comics, Marvel, USA	
Alfred	Stieglitz	Photography, Portrait, B&W, USA, 19th Century	
James	Stokoe	Comic, DC Comics, Marvel, Canada	
Arthur Ernest	Streeton	Painting, Oil, Watercolor, Landscape, Australia, 19th Century	
Drew	Struzan	Illustration, Poster, USA	
Tomasz	Strzalkowski	3D, Character Design, Game Art, Poland	
Simon	Stålenhag	Concept Art, Sci-Fi, Sweden	
